fecha,mes,anio,tipo_pago,afluencia
2022-09-21,Septiembre,2022,Prepago,82642
2022-09-21,Septiembre,2022,Gratuidad,6009
2022-09-22,Septiembre,2022,Prepago,72526
2022-09-22,Septiembre,2022,Gratuidad,5414
2022-09-23,Septiembre,2022,Prepago,75204
2022-09-23,Septiembre,2022,Gratuidad,5550
2022-09-24,Septiembre,2022,Prepago,47427
2022-09-24,Septiembre,2022,Gratuidad,4048
2022-09-25,Septiembre,2022,Prepago,29379
2022-09-25,Septiembre,2022,Gratuidad,2830
2022-09-26,Septiembre,2022,Prepago,81894
2022-09-26,Septiembre,2022,Gratuidad,5310
2022-09-27,Septiembre,2022,Prepago,83482
2022-09-27,Septiembre,2022,Gratuidad,5013
2022-09-28,Septiembre,2022,Prepago,79309
2022-09-28,Septiembre,2022,Gratuidad,5580
2022-09-29,Septiembre,2022,Prepago,77589
2022-09-29,Septiembre,2022,Gratuidad,4946
2022-09-30,Septiembre,2022,Prepago,80310
2022-09-30,Septiembre,2022,Gratuidad,5672
2022-10-01,Octubre,2022,Prepago,56174
2022-10-01,Octubre,2022,Gratuidad,4594
2022-10-02,Octubre,2022,Prepago,30513
2022-10-02,Octubre,2022,Gratuidad,3080
2022-10-03,Octubre,2022,Prepago,79029
2022-10-03,Octubre,2022,Gratuidad,5480
2022-10-04,Octubre,2022,Prepago,79576
2022-10-04,Octubre,2022,Gratuidad,5389
2022-10-05,Octubre,2022,Prepago,91633
2022-10-05,Octubre,2022,Gratuidad,5639
2022-10-06,Octubre,2022,Prepago,77069
2022-10-06,Octubre,2022,Gratuidad,4887
2022-10-07,Octubre,2022,Prepago,80494
2022-10-07,Octubre,2022,Gratuidad,5706
2022-10-08,Octubre,2022,Prepago,52298
2022-10-08,Octubre,2022,Gratuidad,4442
2022-10-09,Octubre,2022,Prepago,28348
2022-10-09,Octubre,2022,Gratuidad,2813
2022-10-10,Octubre,2022,Prepago,78496
2022-10-10,Octubre,2022,Gratuidad,5861
2022-10-11,Octubre,2022,Prepago,79172
2022-10-11,Octubre,2022,Gratuidad,6630
2022-10-12,Octubre,2022,Prepago,80473
2022-10-12,Octubre,2022,Gratuidad,5680
2022-10-13,Octubre,2022,Prepago,78657
2022-10-13,Octubre,2022,Gratuidad,6723
2022-10-14,Octubre,2022,Prepago,81895
2022-10-14,Octubre,2022,Gratuidad,4852
2022-10-15,Octubre,2022,Prepago,64765
2022-10-15,Octubre,2022,Gratuidad,4683
2022-10-16,Octubre,2022,Prepago,31795
2022-10-16,Octubre,2022,Gratuidad,3025
2022-10-17,Octubre,2022,Prepago,81950
2022-10-17,Octubre,2022,Gratuidad,6601
2022-10-18,Octubre,2022,Prepago,79389
2022-10-18,Octubre,2022,Gratuidad,5177
2022-10-19,Octubre,2022,Prepago,80177
2022-10-19,Octubre,2022,Gratuidad,5904
2022-10-20,Octubre,2022,Prepago,82423
2022-10-20,Octubre,2022,Gratuidad,5547
