fecha,mes,anio,servicio,tipo_pago,afluencia
2022-01-18,Enero,2022,Ecoatenea,Prepago,0
2022-01-18,Enero,2022,Ecoatenea,Gratuidad,389
2022-01-18,Enero,2022,Ecobús,Boleto,23161
2022-01-18,Enero,2022,Ecobús,Prepago,2064
2022-01-18,Enero,2022,Ecobús,Gratuidad,4044
2022-01-18,Enero,2022,Expdirecto,Boleto,1669
2022-01-18,Enero,2022,Expdirecto,Prepago,223
2022-01-18,Enero,2022,Expdirecto,Gratuidad,289
2022-01-18,Enero,2022,Expreso,Boleto,77544
2022-01-18,Enero,2022,Expreso,Prepago,6525
2022-01-18,Enero,2022,Expreso,Gratuidad,13480
2022-01-18,Enero,2022,Nochebús,Boleto,586
2022-01-18,Enero,2022,Nochebús,Prepago,45
2022-01-18,Enero,2022,Nochebús,Gratuidad,46
2022-01-18,Enero,2022,Ordinario,Boleto,70207
2022-01-18,Enero,2022,Ordinario,Prepago,1424
2022-01-18,Enero,2022,Ordinario,Gratuidad,12167
